id,title,authors,publication_year,publisher,isbn,subjects,description,languages,type,primary_url,doi,pmid,pmc,all_urls,database_source
# Export Date: 2025-06-04T14:07:40.607830
# Total Records: 3
# Data Source: dnb
1362849162,Alles ist relativ : Die besten Sprüche,"Einstein, Albert",2026,Kampa Verlag,9783311101659,,,ger,,,,,,dnb_direct: https://deposit.dnb.de/cgi-bin/dokserv?id=99ab6a3cf4584fffaaebfa53a38d8362; dnb_record: https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1362849162; worldcat: https://www.worldcat.org/isbn/9783311101659; google_books: https://books.google.com/books?vid=ISBN9783311101659,dnb
1362850217,E = mc2 : Über die Spezielle und die Allgemeine Relativitätstheorie,"Einstein, Albert",2026,Kampa Verlag,9783311101635,,,ger,,,,,,dnb_direct: https://deposit.dnb.de/cgi-bin/dokserv?id=bc04f04712a14619a652a74814c9bc64; dnb_record: https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1362850217; worldcat: https://www.worldcat.org/isbn/9783311101635; google_books: https://books.google.com/books?vid=ISBN9783311101635,dnb
136284828X,Warum Krieg? : Der Briefwechsel mit Sigmund Freud und andere Ausführungen,"Einstein, Albert",2026,Kampa Verlag,9783311101642,,,ger,,,,,,dnb_direct: https://deposit.dnb.de/cgi-bin/dokserv?id=7dbad7330406404ea2097f413cf7bc76; dnb_record: https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D136284828X; worldcat: https://www.worldcat.org/isbn/9783311101642; google_books: https://books.google.com/books?vid=ISBN9783311101642,dnb
