id,title,authors,publication_year,publisher,isbn,subjects,description,languages,type,primary_url,doi,pmid,pmc,all_urls,database_source
# Export Date: 2025-06-04T07:01:04.906977
# Total Records: 5
# Data Source: dnb
,"Faust I, II und Urfaust : Illustrierte Ausgabe","Goethe, Johann Wolfgang von",2050,Petersberg Verlag,9783755300274,,,ger,,,,,,worldcat: https://www.worldcat.org/isbn/9783755300274; google_books: https://books.google.com/books?vid=ISBN9783755300274,dnb
,Leben des Benvenuto Cellini : Von ihm selbst geschrieben,"Goethe, Johann Wolfgang von, Cellini, Benvenuto, Goethe, Johann Wolfgang von",2030,Heel,9783966644822,,,ger,,,,,,worldcat: https://www.worldcat.org/isbn/9783966644822; google_books: https://books.google.com/books?vid=ISBN9783966644822,dnb
,Unterhaltungen deutscher Ausgewanderten,"Goethe, Johann Wolfgang von, Lin, Jean-Claude",2026,Freies Geistesleben,9783772527197,,,ger,,,,,,worldcat: https://www.worldcat.org/isbn/9783772527197; google_books: https://books.google.com/books?vid=ISBN9783772527197,dnb
,"Anhang I für den Studienanteil Chemie im Studiengang Lehramt an Gymnasien (L3) vom 19. Juni 2023 zur Studien- und Prüfungsordnung Lehramt der Johann Wolfgang Goethe-Universität Frankfurt am Main vom 16. Januar 2023 (SPoL) : hier: Änderung vom 13. Januar 2025 ; genehmigt vom Präsidium in der Sitzung am 18. Februar 2025, genehmigt durch das Hessische Ministerium für Kultus, Bildung und Chancen am 27. März 2025",Unknown Author,2025,Universitätsbibliothek Johann Christian Senckenberg,,,,ger,,,,,,,dnb
,"Anhang I für den Studienanteil Chemie im Studiengang Lehramt an Haupt- und Realschulen (L2) und Lehramt für Förderpädagogik (L5) vom 19. Juni 2023 zur Studien- und Prüfungsordnung Lehramt der Johann Wolfgang Goethe-Universität Frankfurt am Main vom 16. Januar 2023 (SPoL) : hier: Änderung vom 13. Januar 2025 ; genehmigt vom Präsidium in der Sitzung am 18. Februar 2025, genehmigt durch das Hessische Ministerium für Kultus, Bildung und Chancen am 27. März 2025",Unknown Author,2025,Universitätsbibliothek Johann Christian Senckenberg,,,,ger,,,,,,,dnb
